song_id,spotify_title,spotify_artist,emotion,score
65,From The Start,Laufey,fear,0.012278606965174129
65,From The Start,Laufey,anger,0.007606965174129353
65,From The Start,Laufey,disgust,0.006601990049751243
65,From The Start,Laufey,surprise,0.005134328358208955
15,Sparks,Coldplay,anticipation,0.007541284403669724
15,Sparks,Coldplay,joy,0.02220183486238532
15,Sparks,Coldplay,sadness,0.009770642201834863
15,Sparks,Coldplay,trust,0.0148348623853211
16,Diet Pepsi,Addison Rae,anticipation,0.01682102272727273
16,Diet Pepsi,Addison Rae,joy,0.08697159090909089
16,Diet Pepsi,Addison Rae,surprise,0.008099431818181816
16,Diet Pepsi,Addison Rae,anger,0.013491477272727277
16,Diet Pepsi,Addison Rae,fear,0.002752840909090909
16,Diet Pepsi,Addison Rae,sadness,0.024957386363636366
16,Diet Pepsi,Addison Rae,trust,0.06658806818181816
17,Von dutch,Charli xcx,trust,0.030667539267015702
17,Von dutch,Charli xcx,anger,0.010581151832460731
17,Von dutch,Charli xcx,disgust,0.009790575916230369
17,Von dutch,Charli xcx,fear,0.013963350785340313
17,Von dutch,Charli xcx,sadness,0.006306282722513088
17,Von dutch,Charli xcx,joy,0.015206806282722514
17,Von dutch,Charli xcx,surprise,0.006913612565445026
17,Von dutch,Charli xcx,anticipation,0.004602094240837696
18,See You Again (feat. Kali Uchis),"Tyler, The Creator",joy,0.016682819383259915
18,See You Again (feat. Kali Uchis),"Tyler, The Creator",anticipation,0.011240088105726872
18,See You Again (feat. Kali Uchis),"Tyler, The Creator",trust,0.0036828193832599116
18,See You Again (feat. Kali Uchis),"Tyler, The Creator",anger,0.01605726872246696
18,See You Again (feat. Kali Uchis),"Tyler, The Creator",surprise,0.005740088105726872
18,See You Again (feat. Kali Uchis),"Tyler, The Creator",fear,0.011268722466960352
18,See You Again (feat. Kali Uchis),"Tyler, The Creator",sadness,0.010044052863436124
18,See You Again (feat. Kali Uchis),"Tyler, The Creator",disgust,0.010563876651982378
249,I Love You So,The Walters,joy,0.05681176470588235
249,I Love You So,The Walters,trust,0.05028823529411765
249,I Love You So,The Walters,anger,0.007217647058823528
249,I Love You So,The Walters,disgust,0.010388235294117648
249,I Love You So,The Walters,anticipation,0.009947058823529411
249,I Love You So,The Walters,surprise,0.004870588235294118
249,I Love You So,The Walters,sadness,0.010870588235294116
249,I Love You So,The Walters,fear,0.003858823529411765
13,Casual,Chappell Roan,joy,0.03287671232876713
13,Casual,Chappell Roan,anger,0.019073972602739724
13,Casual,Chappell Roan,disgust,0.012454794520547943
13,Casual,Chappell Roan,fear,0.012273972602739727
13,Casual,Chappell Roan,sadness,0.013619178082191784
13,Casual,Chappell Roan,surprise,0.005627397260273972
13,Casual,Chappell Roan,anticipation,0.013378082191780822
13,Casual,Chappell Roan,trust,0.008756164383561643
21,No Surprises,Radiohead,joy,0.07030708661417323
21,No Surprises,Radiohead,trust,0.014385826771653542
21,No Surprises,Radiohead,anger,0.0028661417322834643
21,No Surprises,Radiohead,disgust,0.0016614173228346456
21,No Surprises,Radiohead,sadness,0.008858267716535435
21,No Surprises,Radiohead,fear,0.0028267716535433068
21,No Surprises,Radiohead,anticipation,0.006519685039370078
22,Duvet,bôa,disgust,0.009230392156862745
22,Duvet,bôa,fear,0.035083333333333334
22,Duvet,bôa,sadness,0.05761274509803921
22,Duvet,bôa,anger,0.025823529411764704
22,Duvet,bôa,joy,0.010352941176470589
22,Duvet,bôa,trust,0.012985294117647057
22,Duvet,bôa,surprise,0.0005735294117647059
22,Duvet,bôa,anticipation,0.005936274509803922
23,Pink Pony Club,Chappell Roan,anger,0.004893939393939393
23,Pink Pony Club,Chappell Roan,fear,0.009994949494949494
23,Pink Pony Club,Chappell Roan,sadness,0.005858585858585861
23,Pink Pony Club,Chappell Roan,joy,0.06619444444444447
23,Pink Pony Club,Chappell Roan,trust,0.014457070707070708
23,Pink Pony Club,Chappell Roan,anticipation,0.010941919191919192
23,Pink Pony Club,Chappell Roan,disgust,0.002429292929292929
23,Pink Pony Club,Chappell Roan,surprise,0.004184343434343435
24,Iris,The Goo Goo Dolls,joy,0.010827868852459016
24,Iris,The Goo Goo Dolls,sadness,0.011290983606557376
24,Iris,The Goo Goo Dolls,anger,0.008618852459016392
24,Iris,The Goo Goo Dolls,fear,0.011651639344262298
24,Iris,The Goo Goo Dolls,trust,0.007491803278688524
24,Iris,The Goo Goo Dolls,anticipation,0.001889344262295082
42,The Chain - 2004 Remaster,Fleetwood Mac,joy,0.06543846153846153
42,The Chain - 2004 Remaster,Fleetwood Mac,anticipation,0.003723076923076923
42,The Chain - 2004 Remaster,Fleetwood Mac,fear,0.005530769230769231
42,The Chain - 2004 Remaster,Fleetwood Mac,surprise,0.020165384615384616
42,The Chain - 2004 Remaster,Fleetwood Mac,trust,0.0454153846153846
